时间,网关,传感器,通道,值
2018-03-22 01:45:12.0,1100201607150029,1,4,18.300000
2018-03-22 01:45:12.0,1100201607150029,1,64,0.080000
2018-03-22 01:45:12.0,1100201607150029,1,66,3.600000
2018-03-22 01:45:12.0,1100201607150029,1,67,6.900000
2018-03-22 01:45:12.0,1100201607150029,2,3,0.000000
2018-03-22 01:45:12.0,1100201607150029,2,4,0.000000
2018-03-22 01:45:12.0,1100201607150029,2,64,0.000000
2018-03-22 01:45:12.0,1100201607150029,2,66,0.000000
2018-03-22 01:45:12.0,1100201607150029,2,67,0.000000
2018-03-22 01:45:12.0,1100201607150029,3,1,14.000000
2018-03-22 01:45:12.0,1100201607150029,3,2,90.000000
2018-03-22 01:45:12.0,1100201607150029,3,4,14.500000
2018-03-22 01:45:12.0,1100201607150029,3,5,0.118000
2018-03-22 01:45:12.0,1100201607150029,3,20,502.000000
2018-03-22 01:45:12.0,1100201607150029,4,1,14.000000
2018-03-22 01:45:12.0,1100201607150029,4,2,88.800000
2018-03-22 01:45:12.0,1100201607150029,4,4,16.000000
2018-03-22 01:45:12.0,1100201607150029,4,5,0.165000
2018-03-22 01:45:12.0,1100201607150029,4,20,516.000000
2018-03-22 01:47:16.0,1100201607150029,1,3,0.000000
2018-03-22 01:47:16.0,1100201607150029,1,4,18.300000
2018-03-22 01:47:16.0,1100201607150029,1,64,0.080000
2018-03-22 01:47:16.0,1100201607150029,1,66,3.600000
2018-03-22 01:47:16.0,1100201607150029,1,67,6.900000
2018-03-22 01:47:16.0,1100201607150029,2,3,0.000000
2018-03-22 01:47:16.0,1100201607150029,2,4,0.000000
